 | Station      | Date Time    | SO2     | Nox     | No2     | O3      | CO      | PM10    | PM2.5   | WS      | WD      | Temp    | RH     
 |              |              | ppb     | ppb     | ppb     | ppb     | ppm     | µg/m3   | µg/m3   | m/sec   | deg     | °c      | %      
 | ב.אליעזר     | 15/02/2017 13:10 | 2.0     | 5.6     | 5.1     | -9999   | -9999   | -9999   | -9999   | -9999   | -9999   | 12.4    | 71.8   
 | חדרה         | 15/02/2017 13:10 | 1.0     | 17.2    | 13.0    | -9999   | -9999   | -9999   |         | 1.9     | 331     | -9999   | -9999  
 | אליקים       | 15/02/2017 13:10 | 0.1     | 3.5     | 2.0     | -9999   | -9999   | -9999   | -9999   | 4.7     | 303     | 11.4    | 62.0   
 | זכרון יעקב   | 15/02/2017 13:10 | -9999   | -9999   | -9999   | -9999   | -9999   | -9999   | -9999   | 1.7     | 332     | 11.7    | 52.5   
 | פ.חנה        | 15/02/2017 13:10 | 7.9     | 13.7    | 10.4    | -9999   | -9999   | -9999   | 7.0     | 2.3     | 280     | 12.7    | 77.8   
 | אליכין       | 15/02/2017 13:10 | 0.9     | 3.6     | 1.8     | -9999   | -9999   | -9999   | -9999   | 1.5     | 264     | 13.2    | 83.5   
 | מנשה         | 14/02/2017 13:15 | 0.1     | 0.0     | -0.4    | -9999   | -9999   | -9999   | -9999   | 3.9     | 242     | 14.6    | 58.5   
 | גן שמואל     | 15/02/2017 13:10 | 8.4     | 18.1    | 14.7    | -9999   | -9999   | -9999   | -9999   | 3.1     | 291     | 12.4    | 76.8   
 | המעפיל       | 15/02/2017 13:10 | 1.3     | 1.7     | 1.6     | 44.8    | -9999   | -9999   | -9999   | 3.2     | 308     | 12.7    | 83.7   
 | כ.מהרל       | 15/02/2017 13:10 | -9999   | -0.9    | -0.7    | 48.6    | -9999   | -9999   | -9999   | 3.4     | 320     | 12.4    | 52.7   
 | ד.א.כרמל     | 15/02/2017 13:10 | 0.3     | 3.1     | 2.2     | -9999   | -9999   | -9999   | -9999   | 1.4     | 355     | 10.8    | 57.9   
 | עמיקם        | 15/02/2017 13:10 | 0.1     | 1.3     | 1.1     | -9999   | -9999   | -9999   | -9999   | 4.5     | 301     | 10.6    | 68.4   
 | א.א.פחם      | 15/02/2017 13:10 | -9999   | 12.7    | 5.5     | -9999   | -9999   | -9999   |         | 2.0     | 315     | -9999   | -9999  
 | מגל          | 15/02/2017 13:10 | 13.7    | 21.1    | 16.8    | -9999   | -9999   | -9999   | -9999   | 2.6     | 285     | 12.9    | 59.0   
 | ברקאי        | 15/02/2017 13:10 | 1.8     | 6.8     | 6.2     | 26.0    | -9999   | -9999   | -9999   | 2.9     | 280     | 11.9    | 68.1   
 | חפציבה       | 15/02/2017 13:00 | -9999   | -9999   | -9999   | -9999   | -9999   | 15.9    |         | 2.7     | 259     | 12.6    | 74.7   
 | אורות רבין   | 15/02/2017 13:00 | -9999   | -9999   | -9999   | -9999   | -9999   |         | -9999   | 2.4     | 273     | -9999   | -9999  
 | מצפה קציר    | 15/02/2017 13:00 | 1.1     | -9999   | -9999   | -9999   | -9999   | -9999   | -9999   | 2.2     | 316     | -9999   | -9999  
 | קיסריה       | 14/02/2017 09:30 | -9999   | -9999   | -9999   | -9999   | -9999   | 12.9    | -9999   | 5.2     | 189     | 11.1    | -9999  
 | רעננה        | 15/02/2017 12:50 | -9999   | 18.6    | 15.6    | -9999   | 0.3     | -9999   |         | -9999   | -9999   | -9999   | -9999  
 | אום אל קוטוף | 15/02/2017 13:15 | -9999   | -9999   | -9999   | -9999   | -9999   | 48.0    | -9999   | 3.1     | 295     | 10.7    | -9999  
 | ברטעה        | 15/02/2017 13:15 | -9999   | -9999   | -9999   | -9999   | -9999   | 210.0   | -9999   | -9999   | -9999   | 11.0    | -9999  
 | ניידת נתניה  | 15/02/2017 13:10 | 1.0     | 23.3    | 10.4    | 34.1    |         |         | 10.0    |         |         |         |        
 | ג.עדה        | 15/02/2017 13:10 | 0.0     | 0.4     | 1.6     | -9999   | -9999   | -9999   | -9999   |         |         |         |        
 | שפיה         | 15/02/2017 13:15 | -9999   | -9999   | -9999   | -9999   | -9999   | 9.0     | 5.0     | 2.5     | 327     | -9999   | -9999  
